link,title,location,comapany name,description 
/jobs/p/hLP7E42GesS8-Java-Developer-Streams-Giza-Egypt?o=159&l=sp&t=sj&a=data science|search-v3|navbg,Java Developer,"Dokki, Giza, Egypt",Streams -,Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Development · Software Development · Communication skills · Computer Science · Java · Programming · Python
/jobs/p/RI33NGhDVRNv-Android-Developer-RAQAMYAT-Cairo-Egypt?o=160&l=sp&t=sj&a=data science|search-v3|navbg,Android Developer,"Maadi, Cairo, Egypt",RAQAMYAT -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Android · API · coding · Crashlytics · Development · Firebase · Information Technology (IT)
/jobs/p/tePwhoJIBK2V-Senior-Web-Developer-Turbo-Giza-Egypt?o=161&l=sp&t=sj&a=data science|search-v3|navbg,Senior Web Developer,"Giza, Egypt",Turbo -,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · developer · Computer Science · laravel developer · Laravel · PHP · Software Development · Software Engineering
/jobs/p/80XQC3NInYxE-Senior-Application-Specialist--SAP-M²-Developments-Giza-Egypt?o=162&l=sp&t=sj&a=data science|search-v3|navbg,Senior Application Specialist -SAP,"Mohandessin, Giza, Egypt",M² Developments -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · business · Administration · ERP · Information Technology (IT) · SAP · Real Estate · ITIL · Computer Science
/jobs/p/njFOjcK7GlHK-IT-Specialist-Lotus-Finishing-Materials-Cairo-Egypt?o=163&l=sp&t=sj&a=data science|search-v3|navbg,IT Specialist,"Heliopolis, Cairo, Egypt",Lotus Finishing Materials -,Part TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · IT Service Management · Information Technology (IT) · Technical Support · Installation · Computer Science · computer
/jobs/p/DH9EDOqivogn-Artificial-Intelligence-AI-Engineer-Riyadh-Saudi-Arabia?o=164&l=sp&t=sj&a=data science|search-v3|navbg,Artificial Intelligence (AI) Engineer,"Riyadh, Saudi Arabia",Confidential -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Artificial Intelligence · Computer Science · English · Information Technology (IT) · Software Engineering
/jobs/p/usJel51YisVx-Senior-Automation-Quality-Engineer-KnowledgeNet-Cairo-Egypt?o=165&l=sp&t=sj&a=data science|search-v3|navbg,Senior Automation Quality Engineer,"Nasr City, Cairo, Egypt",KnowledgeNet -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Automation · Computer Science · Information Technology (IT) · quality · Quality Assurance · Selenium
/jobs/p/ytgR1Q4wGWRs-Senior-Software-Tester-Cairo-Egypt?o=166&l=sp&t=sj&a=data science|search-v3|navbg,Senior Software Tester,"Maadi, Cairo, Egypt",Confidential -,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Certified Software Tester · Test Design · SQL · Reporting · Software · Testing · Automation
/jobs/p/r1fbIBgOKkCp-Testing-Supervisor-Etisal-EG-Giza-Egypt?o=167&l=sp&t=sj&a=data science|search-v3|navbg,Testing Supervisor,"6th of October, Giza, Egypt",Etisal EG -,Full TimeExperienced · 5 - 9 Yrs of Exp · Installation/Maintenance/Repair · Quality · Engineering - Telecom/Technology · Computer Science · Engineering · Manufacturing · Testing · Information Technology (IT)
/jobs/p/EiQiaKS3TUDB-Software-Quality-Control-Engineer-Obeikan-Digital-Solutions-Cairo-Egypt?o=168&l=sp&t=sj&a=data science|search-v3|navbg,Software Quality Control Engineer,"Cairo, Egypt",Obeikan Digital Solutions -,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Engineering · English · Quality Assurance · Quality Control · Software · Software Development
/jobs/p/JXXPQjb4fbBB-Software-Tester-Etisalat-Egypt-Cairo-Egypt?o=169&l=sp&t=sj&a=data science|search-v3|navbg,Software Tester,"Maadi, Cairo, Egypt",Etisalat Egypt -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation · Information Technology (IT) · Science · Design · Quality Control · Software
/jobs/p/gj3EKbbq1zwn-Senior-Software-Tester---Cairo-Etisalat-Egypt-Cairo-Egypt?o=170&l=sp&t=sj&a=data science|search-v3|navbg,Senior Software Tester - Cairo,"Maadi, Cairo, Egypt",Etisalat Egypt -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · computer · Science · Software · Information Technology (IT) · test automation · Planning
/jobs/p/IiEdbDRveJnN-Senior-Java-Developer-SSC-Egypt-Cairo-Egypt?o=171&l=sp&t=sj&a=data science|search-v3|navbg,Senior Java Developer,"Maadi, Cairo, Egypt",SSC Egypt -,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · Design · Git · Java · OOP · Programming
/jobs/p/HpH2tbTunEGr-Hotel-IT-Manager-Basma-Hotel-Aswan-Egypt?o=172&l=sp&t=sj&a=data science|search-v3|navbg,Hotel IT Manager,"Aswan, Aswan, Egypt",Basma Hotel -,Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Engineering · Computer Science · hotel · Information Technology (IT) · IT · IT Manager · Communication
/jobs/p/s3fWCDqGxs6t-Back-End-Developer-Onsite-klaxads-Giza-Egypt?o=173&l=sp&t=sj&a=data science|search-v3|navbg,Back End Developer (Onsite),"Mohandessin, Giza, Egypt",klaxads -,Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer · Computer Science · Engineering · Information Technology (IT) · Problem Solving · JavaScript · Science · Software Development
/jobs/p/qIvf8GBuEedJ-Salesforce-Technical-Lead---Salesforce-CRM-Jobtology-Cairo-Egypt?o=174&l=sp&t=sj&a=data science|search-v3|navbg,Salesforce Technical Lead - Salesforce CRM,"New Cairo, Cairo, Egypt",Jobtology -,Full TimeManager · 4 - 5 Yrs of Exp · Operations/Management · Sales/Retail · Engineering - Telecom/Technology · APEX · Cloud Services · CRM · Engineering · Cloud · Information Technology (IT) · English
/jobs/p/9zVkqXrCxqfg-Software-Business-Analyst---Onsite-Qsource-Giza-Egypt?o=175&l=sp&t=sj&a=data science|search-v3|navbg,Software Business Analyst - (Onsite),"6th of October, Giza, Egypt",Qsource -,Freelance / ProjectManager · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Business Analysis · Analysis · Software · Project Management · Communication · Computer Science · Development · English
/jobs/p/wA8xmJUdqGGF-IBM-DataPower-Developer-Telecom-Systems-Provider-LLC-Cairo-Egypt?o=176&l=sp&t=sj&a=data science|search-v3|navbg,IBM DataPower Developer,"Basatin, Cairo, Egypt","Telecom Systems Provider, LLC -",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Ibm · Linux · Kubernetes · Docker · Container · Computer Science · Software Development
/jobs/p/wfUCBPagSznE-System-Senior-Engineer-Kandil-Industries-Cairo-Egypt?o=177&l=sp&t=sj&a=data science|search-v3|navbg,System Senior Engineer,"10th of Ramadan City, Cairo, Egypt",Kandil Industries -,Full TimeExperienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Linux · Information Technology (IT) · Computer Science · Computer Engineering · computer · CCNA · Engineering
/jobs/p/GiPQ33WdjhPd-IT-Help-Desk-Specialist-October-Branch-Dar-Al-Fouad-Hospital-Giza-Egypt?o=178&l=sp&t=sj&a=data science|search-v3|navbg,IT Help Desk Specialist (October Branch),"6th of October, Giza, Egypt",Dar Al-Fouad Hospital -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Hardware · Software · Computer Hardware · Help Desk
/jobs/p/drRwxgIf4bwb-Senior-Software-Tester-Expert-Apps-Cairo-Egypt?o=179&l=sp&t=sj&a=data science|search-v3|navbg,Senior Software Tester,"Maadi, Cairo, Egypt",Expert Apps -,Full TimeExperienced · 4+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Automation · computer · Computer Science · Information Technology (IT) · Integration · JMeter · Performance
/jobs/p/XJwuFPkZ7tih-GIS-Developer-Perfect-Presentation-Giza-Egypt?o=180&l=sp&t=sj&a=data science|search-v3|navbg,GIS Developer,"6th of October, Giza, Egypt",Perfect Presentation -,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · GIS · ArcGIS · JavaScript · Web Development · Software Development · Computer Science · Information Technology (IT) · jQuery
/jobs/p/mNzzSNBZVPKK-Senior-Software-Quality-Assurance-Specialist-Smart-IT-Cairo-Egypt?o=181&l=sp&t=sj&a=data science|search-v3|navbg,Senior Software Quality Assurance Specialist,"Nasr City, Cairo, Egypt",Smart IT -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Software Testing · Quality Assurance · Software Development · QC · QA · Quality
/jobs/p/LLhijnfJ0Sgl-Help-Desk-Specialist-Shoura-Chemicals-Giza-Egypt?o=182&l=sp&t=sj&a=data science|search-v3|navbg,Help Desk Specialist,"6th of October, Giza, Egypt",Shoura Chemicals  -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Help desk · Microsoft · Networking · English · Information technology · CCNA · Information Technology (IT)
/jobs/p/ATWrAf5ix4Ed-Chemical-Engineer-Eagle-Chemicals-Giza-Egypt?o=183&l=sp&t=sj&a=data science|search-v3|navbg,Chemical Engineer,"6th of October, Giza, Egypt",Eagle Chemicals -,Full TimeEntry Level · 0 - 2 Yrs of Exp · males_only · R&D/Science · Manufacturing/Production · Engineering - Other · Chemistry · Science · Production · Chemicals · Laboratory · Alkyd · Microsoft Office
/jobs/p/8KsqKRP7NK9d-Team-Leader-Dot-net-Developer--Banha-Z2-Data-Qalubia-Egypt?o=184&l=sp&t=sj&a=data science|search-v3|navbg,Team Leader Dot net Developer -Banha,"Banha, Qalubia, Egypt",Z2 Data -,Full TimeExperienced · 4 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · .Net · ASP.Net · C# · Computer Science · Information Technology (IT) · JavaScript · MVC
/jobs/p/5vZJpSC3Dzeh-Senior-Dot-Net-Developer---Banha-Z2-Data-Qalubia-Egypt?o=185&l=sp&t=sj&a=data science|search-v3|navbg,Senior Dot Net Developer - Banha,"Banha, Qalubia, Egypt",Z2 Data -,Full TimeEntry Level · 1 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · MVC · SQL · .Net · ASP.Net · Computer Science · JavaScript
/jobs/p/kSPZ3KxBnkR8-Senior-Net-Developer-Cairo-Egypt?o=186&l=sp&t=sj&a=data science|search-v3|navbg,Senior .Net Developer,"Nasr City, Cairo, Egypt",Confidential -,Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Architecture · Design · Information Technology (IT) · Ms-SQL · Programming · Software · quality
/jobs/p/UgmGJrgTlj3j-Microsoft-CRM-Developer-Perfect-Presentation-Giza-Egypt?o=187&l=sp&t=sj&a=data science|search-v3|navbg,Microsoft CRM Developer,"6th of October, Giza, Egypt",Perfect Presentation -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Dynamics · Microsoft Dynamics · Development · Microsoft · Information Technology (IT) · Computer Engineering · Computer Science
/jobs/p/CDKEe1IQv3Ed-QA-Engineer-Software-Tester-Caelum-Egypt-Giza-Egypt?o=188&l=sp&t=sj&a=data science|search-v3|navbg,QA Engineer / Software Tester,"Mohandessin, Giza, Egypt",Caelum Egypt -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · QA Engineering · Software Testing · Information Technology (IT) · Computer Science · Testing · Software Development
/jobs/p/Zi1lNI7X8q5q-Integration-Developer-Expleo-Cairo-Egypt?o=189&l=sp&t=sj&a=data science|search-v3|navbg,Integration Developer,"Maadi, Cairo, Egypt",Expleo -,Full TimeWork From HomeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Implementation · Computer Science · Engineering · Computer Engineering · SaaS · SSIS · Information Technology (IT)
/jobs/p/yQSEQJXMEp8P-Senior-Full-Stack-Developer-Cashcall-Cairo-Egypt?o=190&l=sp&t=sj&a=data science|search-v3|navbg,Senior Full Stack Developer,"Maadi, Cairo, Egypt",Cashcall -,Full TimeExperienced · 3 - 4 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Startup · Information Technology (IT) · Telecommunication · Computer Science · Software Development · Software Engineering · Software · Java
/jobs/p/54uJ9m96LKun-Java-Full-Stack-Team-Leader-Cashcall-Cairo-Egypt?o=191&l=sp&t=sj&a=data science|search-v3|navbg,Java Full Stack Team Leader,"Maadi, Cairo, Egypt",Cashcall -,Full TimeManager · 7 - 9 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · Computer Science · Information Technology (IT) · Java · Spring · MVC · Scrum
/jobs/p/yWLOKM59u41b-IT---Voice-Specialist-Avaya-Raya-Customer-Experience-Giza-Egypt?o=192&l=sp&t=sj&a=data science|search-v3|navbg,IT - Voice Specialist (Avaya),"6th of October, Giza, Egypt",Raya Customer Experience -,Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Computer Science · Avaya · Software Development · Management skills
/jobs/p/FZhHhd482VnF-PHP-Full-Stack-Developer-Laravel-Vue-Thaka-International-Cairo-Egypt?o=193&l=sp&t=sj&a=data science|search-v3|navbg,PHP Full Stack Developer (Laravel / Vue),"Badr City, Cairo, Egypt",Thaka International -,Full TimeExperienced · 2 - 6 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Laravel · PHP · MySQL · JavaScript · HTML5 · CSS3 · Git
/jobs/p/YLSeIDdU7X7X-Full-Stack-Developer-3S-Software-Cairo-Egypt?o=194&l=sp&t=sj&a=data science|search-v3|navbg,Full Stack Developer,"Nasr City, Cairo, Egypt",3S Software -,Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · MySQL · MVC · Information Technology (IT) · JavaScript · HTML5 · HTML · API
/jobs/p/PdrYR6WjaQJd-Monitoring-Agent-Soc-e-finance-Giza-Egypt?o=195&l=sp&t=sj&a=data science|search-v3|navbg,"Monitoring Agent "" Soc""","6th of October, Giza, Egypt",e-finance -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Monitoring · Security · Engineering · Computer Science · Information Technology (IT)
/jobs/p/mrmWg0d2VpQY-Senior-NET-Developer-Z2-Data-Cairo-Egypt?o=196&l=sp&t=sj&a=data science|search-v3|navbg,Senior .NET Developer,"Nasr City, Cairo, Egypt",Z2 Data -,Full TimeExperienced · 5 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · .Net · JavaScript · MVC · Software Development · SQL · ASP.Net · Computer Science
/jobs/p/m5AhrTpfNB8B-Junior-Net-Developer-Z2-Data-Cairo-Egypt?o=197&l=sp&t=sj&a=data science|search-v3|navbg,Junior .Net Developer,"Nasr City, Cairo, Egypt",Z2 Data -,Full TimeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · developer · NET · Software Development · .Net · ASP · ASP.Net · Computer Science
/jobs/p/opN1hBCQT75c-IT-System-Administrator-Giza-Egypt?o=198&l=sp&t=sj&a=data science|search-v3|navbg,IT System Administrator,"6th of October, Giza, Egypt",Confidential -,Full TimeExperienced · 6 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · System Administration · System Security · Computer Science · Communication · Communication skills · Engineering · Computer Engineering
/jobs/p/5NFxSMKMH5K0-SeniorMid-Senior-Deep-Learning-Engineer-Cairo-Egypt?o=199&l=sp&t=sj&a=data science|search-v3|navbg,Senior/Mid Senior Deep Learning Engineer,"Mokattam, Cairo, Egypt",Confidential -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Artificial Intelligence · Computer Science · Deep Learning · Design · Information Technology (IT) · Machine Learning · Python · Software Engineering
/jobs/p/gdiZeNfE8uSw-Software-Quality-Control-Engineer-Perfect-Presentation-Giza-Egypt?o=200&l=sp&t=sj&a=data science|search-v3|navbg,Software Quality Control Engineer,"6th of October, Giza, Egypt",Perfect Presentation -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Quality Assurance · Computer Science · ISTQB · Software Testing · Testing
/jobs/p/bqRuDpenbCir-Java-Developer-Cairo-Egypt?o=201&l=sp&t=sj&a=data science|search-v3|navbg,Java Developer,"Nasr City, Cairo, Egypt",Confidential -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Hibernate · Java · Java EE · MVC · Software Development · Spring MVC
/jobs/p/ebYvzUVV89Fm-Project-Management-Specialist-Cairo-Egypt?o=202&l=sp&t=sj&a=data science|search-v3|navbg,Project Management Specialist,"Nasr City, Cairo, Egypt",Confidential -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Project/Program Management · Analysis · Information Technology (IT) · Microsoft Office · Project · Project Management · Management · Computer Science · Computer Engineering
/jobs/p/ZLcQKT6rUUw1-Senior-Software-Developer-Nagwa-Cairo-Egypt?o=203&l=sp&t=sj&a=data science|search-v3|navbg,Senior Software Developer,"Cairo, Egypt",Nagwa -,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full stack .NET Developer · ASP.Net · .Net · Software Engineering · Software · Angular · MVC · Software Development
/jobs/p/TCpcIUVuDqjV-Senior-Information-Security-Engineer-Seoudi-Supermarket-Giza-Egypt?o=204&l=sp&t=sj&a=data science|search-v3|navbg,Senior Information Security Engineer,"6th of October, Giza, Egypt",Seoudi Supermarket -,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Information Security · Security · Communication skills · Computer Engineering
/jobs/p/uXkwy1X0HrQ4-Business-Analyst-Team-Lead-Future-Group-Giza-Egypt?o=205&l=sp&t=sj&a=data science|search-v3|navbg,Business Analyst Team Lead,"Dokki, Giza, Egypt",Future Group -,Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · SQL · business · Economics · Research · Political Science · Statistics
/jobs/p/0FxEA9PLewT9-Senior-Database-Administrator-SURE-International-Technology-Cairo-Egypt?o=206&l=sp&t=sj&a=data science|search-v3|navbg,Senior Database Administrator,"Cairo, Egypt",SURE International Technology -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Database · MySQL · SQL Server · SQL · DBA
/jobs/p/xMTf2BzMF2Al-Java-Developer-Spirawn-Washington-D-C-United-States?o=207&l=sp&t=sj&a=data science|search-v3|navbg,Java Developer,"Washington, D.C., United States",Spirawn -,Full TimeWork From HomeEntry Level · 1 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Spring Boot · Java Developer · Information Technology (IT) · Spring · Software Development · Computer Science · Angular
/jobs/p/rx2fCfJBM3Zx-Ruby-Developer-Bevatel-Giza-Egypt?o=208&l=sp&t=sj&a=data science|search-v3|navbg,Ruby Developer,"Dokki, Giza, Egypt",Bevatel -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ruby on Rails · Ruby · Agile · APIs · Computer Science · Software Development · Docker · MySQL
/jobs/p/ilfQNVI6heHT-Front-End-Developer-Safa-Soft-Cairo-Egypt?o=209&l=sp&t=sj&a=data science|search-v3|navbg,Front End Developer,"Maadi, Cairo, Egypt",Safa Soft -,Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · React · Design · Agile · Software Development · Information Technology (IT) · Software
/jobs/p/xsvBph8lUfYT-Senior-functional-Application-Consultant-MS-DynamicsSmart-Village-Giza-Egypt?o=210&l=sp&t=sj&a=data science|search-v3|navbg,Senior functional Application Consultant MS Dynamics(Smart Village),"6th of October, Giza, Egypt",Confidential -,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Microsoft Dynamics · Microsoft Dynamics AX · Business Administration · Finance · Human Resources · Computer Science · Engineering
/jobs/p/WbqQ26pNnT3f-Software-Support-Engineer-Trufla-Cairo-Egypt?o=211&l=sp&t=sj&a=data science|search-v3|navbg,Software Support Engineer,"Heliopolis, Cairo, Egypt",Trufla -,Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · Github · IT · Linux · Management · MySQL
/jobs/p/MkjQsKRNXTgQ-Android-Developer-Seoudi-Supermarket-Giza-Egypt?o=212&l=sp&t=sj&a=data science|search-v3|navbg,Android Developer,"6th of October, Giza, Egypt",Seoudi Supermarket -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Computer Science · Development · Mobile · Mobile Development · Software Development · Information Technology (IT)
/jobs/p/DHl30IiGVNBz-Mid-level-Software-Tester-QC-Fixed-Solutions-Cairo-Egypt?o=213&l=sp&t=sj&a=data science|search-v3|navbg,Mid-level Software Tester (QC),"Sheraton, Cairo, Egypt",Fixed Solutions -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality · QC · Testing · Computer Engineering · Computer Science
/jobs/p/1j6hVONPIziJ-Junior-Full-Stack-Developer-Cashcall-Cairo-Egypt?o=214&l=sp&t=sj&a=data science|search-v3|navbg,Junior Full Stack Developer,"Maadi, Cairo, Egypt",Cashcall -,Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Startup · Information Technology (IT) · Telecommunication · Computer Science · Full Stack · ITI · Java · Programming
/jobs/p/dJWaM81uGLLP-Software-Quality-Control-Engineer-BI-Technologies-Cairo-Egypt?o=215&l=sp&t=sj&a=data science|search-v3|navbg,Software Quality Control Engineer,"New Cairo, Cairo, Egypt",BI-Technologies -,Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · testing · QC · Tester · Automation · Manualtesting · Information Technology (IT) · Engineering
/jobs/p/K8LF8Aq1rjrd-React-Native-developer-Akwad-Alexandria-Egypt?o=216&l=sp&t=sj&a=data science|search-v3|navbg,React Native developer,"Sidi Bishr, Alexandria, Egypt",Akwad -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Computer Science · Information Technology (IT) · React Native · React.js · JavaScript · Software Development
/jobs/p/VounuqBXaoLM-Technical-Recruiter-Associate-Techno-Ways-Cairo-Egypt?o=217&l=sp&t=sj&a=data science|search-v3|navbg,Technical Recruiter Associate,"Nasr City, Cairo, Egypt",Techno-Ways -,Full TimeWork From HomeEntry Level · 1 - 3 Yrs of Exp · Human Resources · Communication skills · Human Resources · Human Resources (HR) · Information Technology (IT) · Management · networks · Recruitment · technical · Technical Recruitment
/jobs/p/MK45VTbz54Lb-System-Administrator-RDI-Giza-Egypt?o=218&l=sp&t=sj&a=data science|search-v3|navbg,System Administrator,"Dokki, Giza, Egypt",RDI -,Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Network Administration · Information Technology (IT) · Networking · Linux · CCNA · CCNP · System Administration
/jobs/p/cOD5uKkcJ5Lo-QSIT--Senior-Backend-Developer-Alkan-CIT-Cairo-Egypt?o=219&l=sp&t=sj&a=data science|search-v3|navbg,QSIT -Senior Backend Developer,"Cairo, Egypt",Alkan CIT -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Computer Science · Computer Skills · English · GIS · Information Technology (IT) · Software · esri
/jobs/p/YJzvX4h5QB7P-Lab-Sales-Manager-Cairoscan-Giza-Egypt?o=220&l=sp&t=sj&a=data science|search-v3|navbg,Lab Sales Manager,"Mohandessin, Giza, Egypt",Cairoscan -,Full TimeManager · 3 - 5 Yrs of Exp · Operations/Management · Medical/Healthcare · Sales/Retail · Experience · Science · Sales · Pharmacy · Communication · Microbiology · Sales Target
/jobs/p/1IFcjFoYvz8s-IT-Specialist-Cairo-Egypt?o=221&l=sp&t=sj&a=data science|search-v3|navbg,IT Specialist,"Heliopolis, Cairo, Egypt",Confidential -,Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · computer · Microsoft Office · Information Technology (IT) · Hardware Maintenance · Computer Science · Technical Support · Hardware
/jobs/p/RSOdwvluUXQA-BI-Analyst-Webhelp-Cairo-Egypt?o=222&l=sp&t=sj&a=data science|search-v3|navbg,BI Analyst,"New Cairo, Cairo, Egypt",Webhelp -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · CRM · Power BI · SQL · Computer Science · Engineering · excel · Analysis
/jobs/p/egyZrZkJHDuH-Patient-Experience-Specialist-Medical-Background-Andalusia-Group-Cairo-Egypt?o=223&l=sp&t=sj&a=data science|search-v3|navbg,"Patient Experience Specialist ""Medical Background""","Maadi, Cairo, Egypt",Andalusia Group -,Full TimeEntry Level · 0 - 9 Yrs of Exp · Customer Service/Support · Medical/Healthcare · Pharmaceutical · Communication · Communication skills · Customer Care · Customer Service · Customer Support · MEDICINE · Medical
/jobs/p/Ku70z3FTTTLa-ERP-Business-Analyst-Seoudi-Supermarket-Giza-Egypt?o=224&l=sp&t=sj&a=data science|search-v3|navbg,ERP Business Analyst,"6th of October, Giza, Egypt",Seoudi Supermarket -,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SAP · Dynamics 365 · Oracle · ERP
/jobs/p/U2fNwI0Rgff2-Compliance-Specialist---Quality-Assurance-European-Egyptian-Pharmaceutical-Industries-EEPI-Alexandria-Egypt?o=225&l=sp&t=sj&a=data science|search-v3|navbg,Compliance Specialist - Quality Assurance,"Ameria, Alexandria, Egypt",European Egyptian Pharmaceutical Industries (EEPI) -,Full TimeEntry Level · 1 - 3 Yrs of Exp · R&D/Science · Quality · Pharmaceutical · Compliance · Quality Assurance · Science · Quality Control · Pharmaceutical
/jobs/p/TrX7rZ277xHI-IT-Systems-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=226&l=sp&t=sj&a=data science|search-v3|navbg,IT Systems Section Head,"Mohandessin, Giza, Egypt",Nahdet Misr Publishing Group -,Full TimeExperienced · 9 - 11 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · MCSE · Vmware · Computer Science · Management · Engineering · Computer Engineering
